#         Lambda    Transmission
          23965.0000            0.001318
          23970.0000            0.001302
          23975.0000            0.001300
          23980.0000            0.001253
          23985.0000            0.001128
          23990.0000            0.001045
          23995.0000            0.001151
          24000.0000            0.001038
          24005.0000            0.001097
          24010.0000            0.000975
          24015.0000            0.001028
          24020.0000            0.000907
          24025.0000            0.001040
          24030.0000            0.000867
          24035.0000            0.000844
          24040.0000            0.000872
          24045.0000            0.000759
          24050.0000            0.000705
          24055.0000            0.000710
          24060.0000            0.000682
          24065.0000            0.000692
          24070.0000            0.000591
          24075.0000            0.000674
          24080.0000            0.000602
          24085.0000            0.000518
          24090.0000            0.000420
          24095.0000            0.000790
          24100.0000            0.000554
